"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","00160 Katajanokka   (Helsinki )","Yksiöt",113,30.05,"00160"
"2024Q2","00120 Punavuori   (Helsinki )","Yksiöt",180,29.73,"00120"
"2024Q2","00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )","Yksiöt",804,29.63,"00100"
"2024Q2","00520 Itä-Pasila   (Helsinki )","Yksiöt",361,28.81,"00520"
"2024Q2","00270 Pohjois-Meilahti   (Helsinki )","Yksiöt",271,28.67,"00270"
"2024Q2","00250 Taka-Töölö   (Helsinki )","Yksiöt",595,28.61,"00250"
"2024Q2","00150 Eira - Hernesaari   (Helsinki )","Yksiöt",485,28.55,"00150"
"2024Q2","00130 Kaartinkaupunki   (Helsinki )","Yksiöt",35,28.47,"00130"
"2024Q2","00180 Kamppi - Ruoholahti   (Helsinki )","Yksiöt",342,28.37,"00180"
"2024Q2","00170 Kruununhaka   (Helsinki )","Yksiöt",193,28.29,"00170"
"2024Q2","00140 Kaivopuisto - Ullanlinna   (Helsinki )","Yksiöt",253,28.21,"00140"
"2024Q2","00560 Toukola-Vanhakaupunki   (Helsinki )","Yksiöt",116,27.91,"00560"
"2024Q2","00360 Pajamäki   (Helsinki )","Yksiöt",90,27.86,"00360"
"2024Q2","00500 Sörnäinen   (Helsinki )","Yksiöt",1252,27.6,"00500"
"2024Q2","00510 Etu-Vallila - Alppila   (Helsinki )","Yksiöt",745,27.45,"00510"
"2024Q2","00810 Herttoniemi   (Helsinki )","Yksiöt",133,27.43,"00810"
"2024Q2","02130 Pohjois-Tapiola   (Espoo )","Yksiöt",98,27.42,"02130"
"2024Q2","00400 Pohjois-Haaga   (Helsinki )","Yksiöt",340,27.25,"00400"
"2024Q2","00260 Keski-Töölö   (Helsinki )","Yksiöt",205,27.07,"00260"
"2024Q2","00200 Lauttasaari   (Helsinki )","Yksiöt",504,27.02,"00200"
"2024Q2","00530 Kallio   (Helsinki )","Yksiöt",1092,26.77,"00530"
"2024Q2","00350 Munkkivuori-Niemenmäki   (Helsinki )","Yksiöt",393,26.76,"00350"
"2024Q2","00330 Munkkiniemi   (Helsinki )","Yksiöt",177,26.35,"00330"
"2024Q2","00240 Länsi-Pasila   (Helsinki )","Yksiöt",65,26.31,"00240"
"2024Q2","00280 Ruskeasuo   (Helsinki )","Yksiöt",51,26.16,"00280"
"2024Q2","00320 Etelä-Haaga   (Helsinki )","Yksiöt",499,25.98,"00320"
"2024Q2","00300 Pikku Huopalahti   (Helsinki )","Yksiöt",55,25.9,"00300"
"2024Q2","01620 Martinlaakso   (Vantaa )","Yksiöt",496,25.88,"01620"
"2024Q2","02120 Länsikorkee-Suvikumpu   (Espoo )","Yksiöt",85,25.87,"02120"
"2024Q2","00820 Roihuvuori   (Helsinki )","Yksiöt",181,25.6,"00820"
"2024Q2","02110 Otsolahti   (Espoo )","Yksiöt",67,25.42,"02110"
"2024Q2","02600 Etelä-Leppävaara   (Espoo )","Yksiöt",521,25.27,"02600"
"2024Q2","00570 Kulosaari   (Helsinki )","Yksiöt",81,25.1,"00570"
"2024Q2","00930 Itäkeskus-Marjaniemi   (Helsinki )","Yksiöt",84,25.1,"00930"
"2024Q2","00550 Vallila   (Helsinki )","Yksiöt",334,25.09,"00550"
"2024Q2","02100 Tapiola   (Espoo )","Yksiöt",187,25,"02100"
"2024Q2","01400 Rekola   (Vantaa )","Yksiöt",52,24.72,"01400"
"2024Q2","00990 Aurinkolahti   (Helsinki )","Yksiöt",89,24.7,"00990"
"2024Q2","00390 Konala   (Helsinki )","Yksiöt",159,24.64,"00390"
"2024Q2","00790 Viikki   (Helsinki )","Yksiöt",45,24.63,"00790"
"2024Q2","00630 Maunula-Suursuo   (Helsinki )","Yksiöt",104,24.61,"00630"
"2024Q2","00800 Länsi-Herttoniemi   (Helsinki )","Yksiöt",88,24.58,"00800"
"2024Q2","00900 Puotinharju   (Helsinki )","Yksiöt",71,24.57,"00900"
"2024Q2","01700 Kivistö   (Vantaa )","Yksiöt",303,24.25,"01700"
"2024Q2","00730 Tapanila   (Helsinki )","Yksiöt",45,24.23,"00730"
"2024Q2","00980 Etelä-Vuosaari   (Helsinki )","Yksiöt",267,24.19,"00980"
"2024Q2","00960 Pohjois-Vuosaari   (Helsinki )","Yksiöt",137,24.15,"00960"
"2024Q2","01600 Myyrmäki   (Vantaa )","Yksiöt",428,24.15,"01600"
"2024Q2","00700 Malmi   (Helsinki )","Yksiöt",200,24.14,"00700"
"2024Q2","02150 Otaniemi   (Espoo )","Yksiöt",30,24.12,"02150"
"2024Q2","00430 Maununneva   (Helsinki )","Yksiöt",20,24.05,"00430"
"2024Q2","01300 Tikkurila   (Vantaa )","Yksiöt",433,24.02,"01300"
"2024Q2","00210 Vattuniemi   (Helsinki )","Yksiöt",68,23.97,"00210"
"2024Q2","00420 Kannelmäki   (Helsinki )","Yksiöt",335,23.96,"00420"
"2024Q2","01640 Hämevaara   (Vantaa )","Yksiöt",22,23.87,"01640"
"2024Q2","02940 Lippajärvi-Järvenperä   (Espoo )","Yksiöt",115,23.86,"02940"
"2024Q2","02710 Viherlaakso   (Espoo )","Yksiöt",99,23.84,"02710"
"2024Q2","02170 Haukilahti   (Espoo )","Yksiöt",45,23.82,"02170"
"2024Q2","02260 Kaitaa   (Espoo )","Yksiöt",29,23.71,"02260"
"2024Q2","00310 Kivihaka   (Helsinki )","Yksiöt",27,23.68,"00310"
"2024Q2","02610 Kilo   (Espoo )","Yksiöt",98,23.66,"02610"
"2024Q2","02620 Karakallio   (Espoo )","Yksiöt",114,23.64,"02620"
"2024Q2","00920 Myllypuro   (Helsinki )","Yksiöt",80,23.63,"00920"
"2024Q2","00610 Käpylä   (Helsinki )","Yksiöt",74,23.59,"00610"
"2024Q2","02230 Matinkylä   (Espoo )","Yksiöt",238,23.46,"02230"
"2024Q2","00640 Oulunkylä-Patola   (Helsinki )","Yksiöt",131,23.45,"00640"
"2024Q2","01610 Kaivoksela   (Vantaa )","Yksiöt",220,23.43,"01610"
"2024Q2","00840 Laajasalo   (Helsinki )","Yksiöt",124,23.32,"00840"
"2024Q2","00440 Lassila   (Helsinki )","Yksiöt",95,23.3,"00440"
"2024Q2","00370 Reimarla   (Helsinki )","Yksiöt",64,23.27,"00370"
"2024Q2","02770 Espoon Keskus   (Espoo )","Yksiöt",107,23.22,"02770"
"2024Q2","02700 Kauniainen   (Kauniainen )","Yksiöt",82,23.21,"02700"
"2024Q2","00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Yksiöt",24,23.12,"00620"
"2024Q2","01510 Kirkonkylä-Veromäki   (Vantaa )","Yksiöt",76,23.1,"01510"
"2024Q2","02330 Saunalahti-Kattilalaakso   (Espoo )","Yksiöt",159,23.1,"02330"
"2024Q2","02210 Olari   (Espoo )","Yksiöt",146,23.04,"02210"
"2024Q2","00910 Puotila   (Helsinki )","Yksiöt",177,22.92,"00910"
"2024Q2","00600 Koskela-Helsinki   (Helsinki )","Yksiöt",25,22.87,"00600"
"2024Q2","02720 Lähderanta   (Espoo )","Yksiöt",85,22.87,"02720"
"2024Q2","04250 Alikerava   (Kerava )","Yksiöt",103,22.72,"04250"
"2024Q2","02650 Pohjois-Leppävaara   (Espoo )","Yksiöt",149,22.68,"02650"
"2024Q2","00970 Mellunmäki   (Helsinki )","Yksiöt",149,22.59,"00970"
"2024Q2","00710 Pihlajamäki   (Helsinki )","Yksiöt",188,22.57,"00710"
"2024Q2","01200 Hakunila   (Vantaa )","Yksiöt",189,22.55,"01200"
"2024Q2","01350 Hiekkaharju   (Vantaa )","Yksiöt",233,22.51,"01350"
"2024Q2","02430 Masala   (Kirkkonummi )","Yksiöt",35,22.47,"02430"
"2024Q2","00720 Pukinmäki-Savela   (Helsinki )","Yksiöt",123,22.42,"00720"
"2024Q2","01520 Tammisto   (Vantaa )","Yksiöt",34,22.31,"01520"
"2024Q2","00410 Malminkartano   (Helsinki )","Yksiöt",86,22.26,"00410"
"2024Q2","00870 Etelä-Laajasalo   (Helsinki )","Yksiöt",20,22.12,"00870"
"2024Q2","02360 Soukka   (Espoo )","Yksiöt",160,22.1,"02360"
"2024Q2","02750 Sepänkylä-Kuurinniitty   (Espoo )","Yksiöt",24,21.92,"02750"
"2024Q2","00780 Tapaninvainio   (Helsinki )","Yksiöt",36,21.87,"00780"
"2024Q2","00740 Siltamäki   (Helsinki )","Yksiöt",39,21.7,"00740"
"2024Q2","00750 Puistola   (Helsinki )","Yksiöt",100,21.55,"00750"
"2024Q2","02760 Tuomarila-Suvela   (Espoo )","Yksiöt",189,21.47,"02760"
"2024Q2","01280 Länsimäki   (Vantaa )","Yksiöt",122,21.35,"01280"
"2024Q2","01230 Vaarala   (Vantaa )","Yksiöt",36,21.33,"01230"
"2024Q2","33210 Itä-Amuri-Tammerkoski   (Tampere )","Yksiöt",504,21.28,"33210"
"2024Q2","01710 Pähkinärinne   (Vantaa )","Yksiöt",121,21.12,"01710"
"2024Q2","01480 Mikkola   (Vantaa )","Yksiöt",74,21.05,"01480"
"2024Q2","20520 Kupittaa   (Turku )","Yksiöt",365,21.02,"20520"
"2024Q2","04410 Järvenpää Keskus   (Järvenpää )","Yksiöt",202,21,"04410"
"2024Q2","04260 Savio   (Kerava )","Yksiöt",106,20.91,"04260"
"2024Q2","33870 Vuores   (Lempäälä )","Yksiöt",258,20.91,"33870"
"2024Q2","33200 Tampere Keskus Läntinen   (Tampere )","Yksiöt",395,20.88,"33200"
"2024Q2","01360 Koivukylä-Havukoski   (Vantaa )","Yksiöt",216,20.85,"01360"
"2024Q2","33250 Pispala   (Tampere )","Yksiöt",117,20.8,"33250"
"2024Q2","33900 Härmälä-Rantaperkiö   (Tampere )","Yksiöt",494,20.74,"33900"
"2024Q2","33800 Nekala   (Tampere )","Yksiöt",508,20.71,"33800"
"2024Q2","01450 Korso   (Vantaa )","Yksiöt",178,20.57,"01450"
"2024Q2","01650 Vapaala   (Vantaa )","Yksiöt",33,20.48,"01650"
