"age","sex","category","population"
0,"Miehet","v1990",160
0,"Miehet","v2010",192
0,"Miehet","v2024",168
1,"Miehet","v1990",182
1,"Miehet","v2010",206
1,"Miehet","v2024",171
2,"Miehet","v1990",188
2,"Miehet","v2010",212
2,"Miehet","v2024",169
3,"Miehet","v1990",167
3,"Miehet","v2010",230
3,"Miehet","v2024",212
4,"Miehet","v1990",159
4,"Miehet","v2010",234
4,"Miehet","v2024",164
5,"Miehet","v1990",175
5,"Miehet","v2010",233
5,"Miehet","v2024",196
6,"Miehet","v1990",181
6,"Miehet","v2010",218
6,"Miehet","v2024",176
7,"Miehet","v1990",190
7,"Miehet","v2010",200
7,"Miehet","v2024",199
8,"Miehet","v1990",189
8,"Miehet","v2010",229
8,"Miehet","v2024",221
9,"Miehet","v1990",168
9,"Miehet","v2010",178
9,"Miehet","v2024",214
10,"Miehet","v1990",189
10,"Miehet","v2010",199
10,"Miehet","v2024",236
11,"Miehet","v1990",154
11,"Miehet","v2010",184
11,"Miehet","v2024",225
12,"Miehet","v1990",172
12,"Miehet","v2010",189
12,"Miehet","v2024",232
13,"Miehet","v1990",173
13,"Miehet","v2010",170
13,"Miehet","v2024",198
14,"Miehet","v1990",193
14,"Miehet","v2010",214
14,"Miehet","v2024",225
15,"Miehet","v1990",170
15,"Miehet","v2010",206
15,"Miehet","v2024",239
16,"Miehet","v1990",182
16,"Miehet","v2010",219
16,"Miehet","v2024",212
17,"Miehet","v1990",154
17,"Miehet","v2010",189
17,"Miehet","v2024",244
18,"Miehet","v1990",179
18,"Miehet","v2010",196
18,"Miehet","v2024",238
19,"Miehet","v1990",143
19,"Miehet","v2010",184
19,"Miehet","v2024",222
20,"Miehet","v1990",167
20,"Miehet","v2010",135
20,"Miehet","v2024",183
21,"Miehet","v1990",168
21,"Miehet","v2010",139
21,"Miehet","v2024",144
22,"Miehet","v1990",178
22,"Miehet","v2010",123
22,"Miehet","v2024",154
23,"Miehet","v1990",176
23,"Miehet","v2010",93
23,"Miehet","v2024",130
24,"Miehet","v1990",162
24,"Miehet","v2010",112
24,"Miehet","v2024",122
25,"Miehet","v1990",185
25,"Miehet","v2010",114
25,"Miehet","v2024",123
26,"Miehet","v1990",158
26,"Miehet","v2010",120
26,"Miehet","v2024",138
27,"Miehet","v1990",211
27,"Miehet","v2010",152
27,"Miehet","v2024",146
28,"Miehet","v1990",162
28,"Miehet","v2010",156
28,"Miehet","v2024",171
29,"Miehet","v1990",167
29,"Miehet","v2010",161
29,"Miehet","v2024",168
30,"Miehet","v1990",193
30,"Miehet","v2010",155
30,"Miehet","v2024",193
31,"Miehet","v1990",182
31,"Miehet","v2010",164
31,"Miehet","v2024",206
32,"Miehet","v1990",184
32,"Miehet","v2010",178
32,"Miehet","v2024",223
33,"Miehet","v1990",185
33,"Miehet","v2010",210
33,"Miehet","v2024",206
34,"Miehet","v1990",193
34,"Miehet","v2010",223
34,"Miehet","v2024",231
35,"Miehet","v1990",184
35,"Miehet","v2010",218
35,"Miehet","v2024",262
36,"Miehet","v1990",203
36,"Miehet","v2010",217
36,"Miehet","v2024",237
37,"Miehet","v1990",227
37,"Miehet","v2010",188
37,"Miehet","v2024",199
38,"Miehet","v1990",250
38,"Miehet","v2010",218
38,"Miehet","v2024",232
39,"Miehet","v1990",202
39,"Miehet","v2010",206
39,"Miehet","v2024",210
40,"Miehet","v1990",237
40,"Miehet","v2010",259
40,"Miehet","v2024",232
41,"Miehet","v1990",217
41,"Miehet","v2010",210
41,"Miehet","v2024",245
