"id","Kunta","muutos"
"Juuka","Juuka",19.4
"Lieksa","Lieksa",17.3
"Outokumpu","Outokumpu",16.5
"Puolanka","Puolanka",16.5
"Kitee","Kitee",16.3
"Pudasjärvi","Pudasjärvi",16.2
"Tohmajärvi","Tohmajärvi",16.2
"Rääkkylä","Rääkkylä",15.6
"Imatra","Imatra",15.5
"Joensuu","Joensuu",15.4
"Jyväskylä","Jyväskylä",15.4
"Äänekoski","Äänekoski",15
"Ilomantsi","Ilomantsi",14.9
"Kemi","Kemi",14.8
"Lahti","Lahti",14.8
"Rautjärvi","Rautjärvi",14.7
"Kotka","Kotka",14.4
"Oulu","Oulu",14.3
"Taivalkoski","Taivalkoski",14.2
"Turku","Turku",14.2
"Heinola","Heinola",14.1
"Forssa","Forssa",14
"Ii","Ii",14
"Varkaus","Varkaus",14
"Kaavi","Kaavi",13.8
"Tampere","Tampere",13.8
"Saarijärvi","Saarijärvi",13.7
"Vaala","Vaala",13.7
"Vantaa","Vantaa",13.3
"Polvijärvi","Polvijärvi",13.2
"Hamina","Hamina",13.1
"Karkkila","Karkkila",13.1
"Muonio","Muonio",13.1
"Joutsa","Joutsa",13
"Pori","Pori",13
"Kinnula","Kinnula",12.9
"Virolahti","Virolahti",12.9
"Savukoski","Savukoski",12.8
"Jämsä","Jämsä",12.7
"Iisalmi","Iisalmi",12.6
"Lappeenranta","Lappeenranta",12.6
"Pelkosenniemi","Pelkosenniemi",12.6
"Pyhäjärvi","Pyhäjärvi",12.6
"Helsinki","Helsinki",12.5
"Keuruu","Keuruu",12.5
"Nurmes","Nurmes",12.5
"Tuusniemi","Tuusniemi",12.5
"Utajärvi","Utajärvi",12.5
"Kemijärvi","Kemijärvi",12.4
"Kerava","Kerava",12.4
"Luhanka","Luhanka",12.3
"Savonlinna","Savonlinna",12.3
"Kouvola","Kouvola",12.2
"Mänttä-Vilppula","Mänttä-Vilppula",12.2
"Padasjoki","Padasjoki",12.2
"Järvenpää","Järvenpää",12.1
"Kankaanpää","Kankaanpää",12.1
"Raahe","Raahe",12.1
"Halsua","Halsua",12
"Konnevesi","Konnevesi",12
"Heinävesi","Heinävesi",11.9
"Kaskinen","Kaskinen",11.9
"Kivijärvi","Kivijärvi",11.9
"Miehikkälä","Miehikkälä",11.9
"Hartola","Hartola",11.8
"Karstula","Karstula",11.8
"Liperi","Liperi",11.8
"Valkeakoski","Valkeakoski",11.8
"Kuopio","Kuopio",11.6
"Hämeenlinna","Hämeenlinna",11.5
"Kuusamo","Kuusamo",11.5
"Multia","Multia",11.5
"Riihimäki","Riihimäki",11.5
"Ylitornio","Ylitornio",11.5
"Hankasalmi","Hankasalmi",11.4
"Harjavalta","Harjavalta",11.4
"Loimaa","Loimaa",11.4
"Hyvinkää","Hyvinkää",11.3
"Laukaa","Laukaa",11.3
"Siikainen","Siikainen",11.3
"Myrskylä","Myrskylä",11.2
"Pietarsaari","Pietarsaari",11.2
"Salla","Salla",11.2
"Hyrynsalmi","Hyrynsalmi",11.1
"Ikaalinen","Ikaalinen",11.1
"Suomussalmi","Suomussalmi",11.1
"Espoo","Espoo",11
"Orimattila","Orimattila",11
"Urjala","Urjala",11
"Uusikaupunki","Uusikaupunki",11
"Mikkeli","Mikkeli",10.9
"Pieksämäki","Pieksämäki",10.9
"Pihtipudas","Pihtipudas",10.9
"Inari","Inari",10.8
"Kajaani","Kajaani",10.8
"Lumijoki","Lumijoki",10.8
"Somero","Somero",10.8
"Hämeenkyrö","Hämeenkyrö",10.7
"Iitti","Iitti",10.7
"Merikarvia","Merikarvia",10.6
"Parkano","Parkano",10.6
"Rautavaara","Rautavaara",10.6
"Taivassalo","Taivassalo",10.6
"Ylivieska","Ylivieska",10.6
"Lapinlahti","Lapinlahti",10.5
"Loviisa","Loviisa",10.5
"Vesanto","Vesanto",10.5
"Pertunmaa","Pertunmaa",10.4
"Pukkila","Pukkila",10.4
"Salo","Salo",10.4
"Sysmä","Sysmä",10.4
"Akaa","Akaa",10.3
"Pielavesi","Pielavesi",10.3
"Savitaipale","Savitaipale",10.3
"Kokkola","Kokkola",10.2
"Petäjävesi","Petäjävesi",10.2
"Ruokolahti","Ruokolahti",10.2
"Kiuruvesi","Kiuruvesi",10.1
"Merijärvi","Merijärvi",10.1
"Nokia","Nokia",10.1
"Pomarkku","Pomarkku",10.1
"Posio","Posio",10.1
"Rauma","Rauma",10.1
"Kärkölä","Kärkölä",10
"Ruovesi","Ruovesi",10
"Orivesi","Orivesi",9.9
"Rovaniemi","Rovaniemi",9.9
"Uurainen","Uurainen",9.9
"Asikkala","Asikkala",9.8
"Kolari","Kolari",9.8
"Oulainen","Oulainen",9.8
"Haapajärvi","Haapajärvi",9.7
"Kangasniemi","Kangasniemi",9.7
"Lohja","Lohja",9.7
"Porvoo","Porvoo",9.7
"Pyhäjoki","Pyhäjoki",9.7
"Ranua","Ranua",9.7
"Tervo","Tervo",9.7
"Kannonkoski","Kannonkoski",9.6
"Kittilä","Kittilä",9.6
"Kuhmoinen","Kuhmoinen",9.6
"Lapinjärvi","Lapinjärvi",9.6
"Luumäki","Luumäki",9.6
"Parikkala","Parikkala",9.6
"Siikalatva","Siikalatva",9.6
"Teuva","Teuva",9.6
"Enonkoski","Enonkoski",9.5
"Humppila","Humppila",9.5
"Kempele","Kempele",9.5
"Rantasalmi","Rantasalmi",9.5
"Ristijärvi","Ristijärvi",9.5
"Siikajoki","Siikajoki",9.5
"Simo","Simo",9.5
"Kauhajoki","Kauhajoki",9.4
"Kirkkonummi","Kirkkonummi",9.4
"Kärsämäki","Kärsämäki",9.4
"Leppävirta","Leppävirta",9.4
"Pyhtää","Pyhtää",9.4
"Rautalampi","Rautalampi",9.4
"Sievi","Sievi",9.4
"Sonkajärvi","Sonkajärvi",9.4
"Tyrnävä","Tyrnävä",9.4
"Kontiolahti","Kontiolahti",9.3
"Alavus","Alavus",9.2
"Lemi","Lemi",9.2
"Pello","Pello",9.2
"Pöytyä","Pöytyä",9.2
"Raisio","Raisio",9.2
"Vaasa","Vaasa",9.2
"Viitasaari","Viitasaari",9.2
"Enontekiö","Enontekiö",9.1
"Hailuoto","Hailuoto",9.1
"Muhos","Muhos",9.1
"Paltamo","Paltamo",9.1
"Pirkkala","Pirkkala",9.1
"Kangasala","Kangasala",9
"Kuhmo","Kuhmo",9
"Muurame","Muurame",9
"Vehmaa","Vehmaa",9
"Alavieska","Alavieska",8.9
"Hirvensalmi","Hirvensalmi",8.9
"Joroinen","Joroinen",8.9
"Kokemäki","Kokemäki",8.9
"Sastamala","Sastamala",8.9
"Ähtäri","Ähtäri",8.9
"Keitele","Keitele",8.8
"Raasepori","Raasepori",8.8
"Sulkava","Sulkava",8.8
"Suonenjoki","Suonenjoki",8.8
"Tornio","Tornio",8.8
"Utsjoki","Utsjoki",8.8
"Vihti","Vihti",8.8
"Nivala","Nivala",8.7
"Puumala","Puumala",8.7
"Kyyjärvi","Kyyjärvi",8.6
"Marttila","Marttila",8.6
"Huittinen","Huittinen",8.5
"Kannus","Kannus",8.5
"Mäntyharju","Mäntyharju",8.5
"Oripää","Oripää",8.5
"Siilinjärvi","Siilinjärvi",8.5
"Taipalsaari","Taipalsaari",8.5
"Toivakka","Toivakka",8.5
"Tuusula","Tuusula",8.5
"Haapavesi","Haapavesi",8.4
"Naantali","Naantali",8.4
"Seinäjoki","Seinäjoki",8.4
"Ulvila","Ulvila",8.4
"Kustavi","Kustavi",8.3
"Nurmijärvi","Nurmijärvi",8.3
"Ypäjä","Ypäjä",8.3
"Karvia","Karvia",8.2
"Liminka","Liminka",8.2
"Mynämäki","Mynämäki",8.2
"Kalajoki","Kalajoki",8.1
"Lempäälä","Lempäälä",8.1
"Perho","Perho",8.1
"Pyhäntä","Pyhäntä",8.1
"Virrat","Virrat",8.1
"Hollola","Hollola",8
"Janakkala","Janakkala",8
"Keminmaa","Keminmaa",8
"Tervola","Tervola",8
"Toholampi","Toholampi",8
"Veteli","Veteli",8
"Ylöjärvi","Ylöjärvi",8
"Hanko","Hanko",7.9
"Mäntsälä","Mäntsälä",7.9
"Nakkila","Nakkila",7.8
"Juva","Juva",7.7
"Kurikka","Kurikka",7.7
"Askola","Askola",7.6
"Jokioinen","Jokioinen",7.6
"Kauniainen","Kauniainen",7.6
"Sipoo","Sipoo",7.6
"Koski Tl","Koski Tl",7.5
"Laitila","Laitila",7.5
"Tammela","Tammela",7.5
"Vesilahti","Vesilahti",7.5
"Vieremä","Vieremä",7.5
"Hausjärvi","Hausjärvi",7.4
"Kemiönsaari","Kemiönsaari",7.4
"Kihniö","Kihniö",7.4
"Eura","Eura",7.3
"Eurajoki","Eurajoki",7.3
"Kaarina","Kaarina",7.3
"Pyhäranta","Pyhäranta",7.3
"Karijoki","Karijoki",7.2
"Lestijärvi","Lestijärvi",7.2
"Pornainen","Pornainen",7.2
"Alajärvi","Alajärvi",7.1
"Sodankylä","Sodankylä",7.1
"Aura","Aura",7
"Nousiainen","Nousiainen",7
"Sotkamo","Sotkamo",7
"Säkylä","Säkylä",6.9
"Isokyrö","Isokyrö",6.8
"Kauhava","Kauhava",6.8
"Kaustinen","Kaustinen",6.8
"Lieto","Lieto",6.8
"Punkalaidun","Punkalaidun",6.8
"Sauvo","Sauvo",6.8
"Ilmajoki","Ilmajoki",6.6
"Kristiinankaupunki","Kristiinankaupunki",6.6
"Hattula","Hattula",6.5
"Jämijärvi","Jämijärvi",6.5
"Maarianhamina - Mariehamn","Maarianhamina - Mariehamn",6.5
"Laihia","Laihia",6.4
"Siuntio","Siuntio",6.4
"Loppi","Loppi",6.3
"Paimio","Paimio",6.3
"Parainen","Parainen",6.3
"Soini","Soini",6.3
"Uusikaarlepyy","Uusikaarlepyy",6.3
"Vimpeli","Vimpeli",6.3
"Juupajoki","Juupajoki",6.2
"Korsnäs","Korsnäs",6.2
"Lapua","Lapua",6.2
"Isojoki","Isojoki",6.1
"Eckerö","Eckerö",6
"Pälkäne","Pälkäne",6
"Masku","Masku",5.9
"Reisjärvi","Reisjärvi",5.9
"Vöyri","Vöyri",5.9
"Kökar","Kökar",5.8
"Lappajärvi","Lappajärvi",5.8
"Geta","Geta",5.7
"Inkoo","Inkoo",5.7
"Kruunupyy","Kruunupyy",5.6
"Maalahti","Maalahti",5.1
"Mustasaari","Mustasaari",5.1
"Kuortane","Kuortane",4.8
"Rusko","Rusko",4.8
"Evijärvi","Evijärvi",4.7
"Finström","Finström",4.4
"Hammarland","Hammarland",4.3
"Kumlinge","Kumlinge",4.3
"Vårdö","Vårdö",4.3
"Föglö","Föglö",4.1
"Närpiö","Närpiö",3.7
"Pedersören kunta","Pedersören kunta",3.7
"Sund","Sund",3.7
"Brändö","Brändö",3.6
"Saltvik","Saltvik",3.5
"Luoto","Luoto",3.4
"Jomala","Jomala",2.6
"Lemland","Lemland",2.6
