id,cat_1_fi,cat_2_fi,cat_1_en,cat_2_en,rec_index,two_layout,three_layout,chart,table,title_fi,title_en,text_fi,text_en,description_fi,description_en,url
1,Esipuhe,Alkusanat,Esipuhe,Alkusanat,1,No,No,No,No,Alkusanat,Alkusanat,"Kangasalan kaupungin tilastollinen vuosikirja julkaistiin ensimmäisen kerran vuonna xxxx. Tämä xx vuosikerta ilmestyy sähköisenä julkaisuna. Tilastollisessa vuosikirjassa 2023–2024 kuvataan Tamperetta ja tamperelaisia tilastojen valossa. Kangasalan kaupungin vuoden 2024 tilastokirja tarjoaa tilastotietoa väestöstä, työmarkkinoista, asumisesta ja taloudesta. Tilastokirja täydentää toimintakertomuksessa annettua informaatiota. Kirjassa esitetyt tuoreimmat tilastot ovat vuosilta 2023–2024. Useimmissa taulukoissa tiedot ovat vähintään viimeiseltä viisivuotiskaudelta tai 2000-luvulta. Joidenkin ilmiöiden osalta myös pidemmät aikasarjat ovat perusteltuja. Vertailua tehdään kaupunkiseudun ja sen kuntien lisäksi Suomen suurimpiin kaupunkeihin ja suurimpiin seutukuntiin.",null,null,null,null
2,Esipuhe,Alkusanat,Esipuhe,Alkusanat,2,No,No,No,No,Alkusanat,Alkusanat,Kirjassa esitetyt tuoreimmat tilastot ovat vuosilta 2023–2024. Useimmissa taulukoissa tiedot ovat vähintään viimeiseltä viisivuotiskaudelta tai 2000-luvulta. Joidenkin ilmiöiden osalta myös pidemmät aikasarjat ovat perusteltuja. Vertailua tehdään kaupunkiseudun ja sen kuntien lisäksi Suomen suurimpiin kaupunkeihin ja suurimpiin seutukuntiin.,null,null,null,null
3,Alue,Maantieteellinen sijainti,Area,Land area,2,No,No,Yes,No,Maantieteellinen sijainti,Land area,null,null,"Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus.","Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus.",https://pxdata.stat.fi:443/PxWeb/api/v1/fi/Kuntien_avainluvut/uusin/142h.px
4,Alue,Kaupungin alue,null,null,1,No,No,No,No,Kaupungin alue,null,"Kangasala sijaitsee hämeessä Pirkanmaan maakunnassa Tampereen keskusseudulla. Lännessä kaupunki rajoittuu Tampereen kaupunkiin ja Lempäälän kuntaan, etelässä Valkeakosken kaupunkiin ja Pälkäneen kuntaan, idässä Kuhmoisten kuntaan ja pohjoisessa Oriveden kaupunkiin.",,null,null,null
5,Alue,Hyväksytyt kaavat,null,null,1,No,No,No,No,Hyväksytyt kaavat,null,null,null,null,null,null
6,Alue,Kaavoitettu maa-alue yhteensä,null,null,1,No,No,No,No,Kaavoitettu maa-alue yhteensä,null,null,null,null,null,null
7,Alue,Kaupungin omistama maa,null,null,1,No,No,No,No,Kaupungin omistama maa,null,null,null,null,null,null
8,Alue,Muiden kuin kaupungin omistama maa,null,null,1,No,No,No,No,Muiden kuin kaupungin omistama maa,null,null,null,null,null,null
9,Alue,Kaupungin omistama maa- ja metsätalousmaa,null,null,1,No,No,No,No,Kaupungin omistama maa- ja metsätalousmaa,null,null,null,null,null,null
10,Vaalit,Valtiolliset vaalit,null,null,1,No,No,No,No,Valtiolliset vaalit,,null,null,null,null,null
11,Vaalit,Kuntavaalit,null,null,1,No,No,No,No,Kuntavaalit,null,null,null,null,null,null
12,Ilmasto ja ympäristö,,null,null,1,No,No,No,No,0,null,null,null,null,null,null
13,Väestö,Väestön kehitys,Area,Population,1,Yes,No,Yes,No,Väestön kehitys,Population,null,null,"Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus.","Väestöllä tarkoitetaan alueella vakinaisesti asuvaa väestöä. Ne henkilöt joilla väestötietojärjestelmän mukaan oli kotipaikka Suomessa vuoden lopussa, kuuluvat väestöön kansalaisuudestaan riippumatta. Lähde: Väestörakenne, Tilastokeskus.",https://pxdata.stat.fi:443/PxWeb/api/v1/fi/Kuntien_avainluvut/uusin/142h.px
14,Väestö,Väestö sukupuolen mukaan,null,null,1,No,No,No,No,Väestö sukupuolen mukaan,null,null,null,null,null,null
15,Väestö,Väestökehitys tilastoalueittain,null,null,1,No,No,No,No,Väestökehitys tilastoalueittain,null,null,null,null,null,null
