lng,lat,id,tmsNumber,name,kunta,vuosi,nimi,namn,name_2,suunta_1,suunta_2
24.637997,60.220898,20002,20002,vt1 Espoo Hirvisuo,049,2023,Espoo,Esbo,Espoo,Turku,Helsinki
24.680272,60.210344,20004,20004,vt1 Espoo Kasavuori,235,2023,Kauniainen,Grankulla,Kauniainen,Turku,Helsinki
24.710207,60.200669,20006,20006,vt1 Espoo Kuurinniitty,235,2023,Kauniainen,Grankulla,Kauniainen,Turku,Helsinki
24.695188,60.205637,20007,20007,vt1 Espoo Tuomarila,235,2023,Kauniainen,Grankulla,Kauniainen,Turku,Helsinki
24.749333,60.205067,20009,20009,vt1 Espoo Stensgård,235,2023,Kauniainen,Grankulla,Kauniainen,Turku,Helsinki
24.785277,60.206768,20010,20010,vt1 Espoo Turveradantie,049,2023,Espoo,Esbo,Espoo,Turku,Helsinki
24.776775,60.205988,20011,20011,vt1 Espoo Sinimäki,049,2023,Espoo,Esbo,Espoo,Turku,Helsinki
24.811301,60.208135,20016,20016,vt1 Espoo Säterinmetsä 2 Hki,049,2023,Espoo,Esbo,Espoo,,Helsinki
24.803387,60.208264,20017,20017,vt1 Espoo Espoonsilta,049,2023,Espoo,Esbo,Espoo,Turku,Helsinki
24.826427,60.208922,20018,20018,vt1 Espoo Ruukinranta,049,2023,Espoo,Esbo,Espoo,Turku,Helsinki
24.814737,60.383362,20024,20024,vt3 Mäyränkallio,543,2023,Nurmijärvi,Nurmijärvi,Nurmijärvi,Hämeenlinna,Helsinki
24.814253,60.393297,20025,20025,vt3 Yli-Hemmi,543,2023,Nurmijärvi,Nurmijärvi,Nurmijärvi,Hämeenlinna,Helsinki
24.844291,60.451756,20026,20026,vt3 Nurmijärvi Hki,543,2023,Nurmijärvi,Nurmijärvi,Nurmijärvi,,Helsinki
24.992731,60.185775,20028,20028,st170 Kulosaari LML,091,2023,Helsinki,Helsingfors,Helsinki,Itäkeskus,Helsinki
26.343977,61.150644,20301,20301,kt46 Kouvola Uimila Flex,286,2023,Kouvola,Kouvola,Kouvola,Heinola,Kouvola
27.823605,61.899062,20603,20603,vt14 Juva Flex3,178,2023,Juva,Juva,Juva,,
25.508104,65.020043,21201,21201,vt4 Oulu Intiö LML,564,2023,Oulu,Uleåborg,Oulu,Kemi,Jyväskylä
