"kunta","vuosi","nimi","namn","name","maakunta","nimi_2","namn_2","name_2","kunta_k"
"005","2024","Alajärvi","Alajärvi","Alajärvi","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU005"
"009","2024","Alavieska","Alavieska","Alavieska","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU009"
"010","2024","Alavus","Alavo","Alavus","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU010"
"016","2024","Asikkala","Asikkala","Asikkala","07","Päijät-Häme","Päijänne-Tavastland","Päijät-Häme","KU016"
"018","2024","Askola","Askola","Askola","01","Uusimaa","Nyland","Uusimaa","KU018"
"019","2024","Aura","Aura","Aura","02","Varsinais-Suomi","Egentliga Finland","Southwest Finland","KU019"
"020","2024","Akaa","Ackas","Akaa","06","Pirkanmaa","Birkaland","Pirkanmaa","KU020"
"035","2024","Brändö","Brändö","Brändö","21","Ahvenanmaa","Åland","Åland","KU035"
"043","2024","Eckerö","Eckerö","Eckerö","21","Ahvenanmaa","Åland","Åland","KU043"
"046","2024","Enonkoski","Enonkoski","Enonkoski","10","Etelä-Savo","Södra Savolax","South Savo","KU046"
"047","2024","Enontekiö","Enontekis","Enontekiö","19","Lappi","Lappland","Lapland","KU047"
"049","2024","Espoo","Esbo","Espoo","01","Uusimaa","Nyland","Uusimaa","KU049"
"050","2024","Eura","Eura","Eura","04","Satakunta","Satakunta","Satakunta","KU050"
"051","2024","Eurajoki","Euraåminne","Eurajoki","04","Satakunta","Satakunta","Satakunta","KU051"
"052","2024","Evijärvi","Evijärvi","Evijärvi","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU052"
"060","2024","Finström","Finström","Finström","21","Ahvenanmaa","Åland","Åland","KU060"
"061","2024","Forssa","Forssa","Forssa","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU061"
"062","2024","Föglö","Föglö","Föglö","21","Ahvenanmaa","Åland","Åland","KU062"
"065","2024","Geta","Geta","Geta","21","Ahvenanmaa","Åland","Åland","KU065"
"069","2024","Haapajärvi","Haapajärvi","Haapajärvi","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU069"
"071","2024","Haapavesi","Haapavesi","Haapavesi","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU071"
"072","2024","Hailuoto","Karlö","Hailuoto","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU072"
"074","2024","Halsua","Halso","Halsua","16","Keski-Pohjanmaa","Mellersta Österbotten","Central Ostrobothnia","KU074"
"075","2024","Hamina","Fredrikshamn","Hamina","08","Kymenlaakso","Kymmenedalen","Kymenlaakso","KU075"
"076","2024","Hammarland","Hammarland","Hammarland","21","Ahvenanmaa","Åland","Åland","KU076"
"077","2024","Hankasalmi","Hankasalmi","Hankasalmi","13","Keski-Suomi","Mellersta Finland","Central Finland","KU077"
"078","2024","Hanko","Hangö","Hanko","01","Uusimaa","Nyland","Uusimaa","KU078"
"079","2024","Harjavalta","Harjavalta","Harjavalta","04","Satakunta","Satakunta","Satakunta","KU079"
"081","2024","Hartola","Gustav Adolfs  ","Hartola","07","Päijät-Häme","Päijänne-Tavastland","Päijät-Häme","KU081"
"082","2024","Hattula","Hattula","Hattula","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU082"
"086","2024","Hausjärvi","Hausjärvi","Hausjärvi","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU086"
"090","2024","Heinävesi","Heinävesi","Heinävesi","12","Pohjois-Karjala","Norra Karelen","North Karelia","KU090"
"091","2024","Helsinki","Helsingfors","Helsinki","01","Uusimaa","Nyland","Uusimaa","KU091"
"092","2024","Vantaa","Vanda","Vantaa","01","Uusimaa","Nyland","Uusimaa","KU092"
"097","2024","Hirvensalmi","Hirvensalmi","Hirvensalmi","10","Etelä-Savo","Södra Savolax","South Savo","KU097"
"098","2024","Hollola","Hollola","Hollola","07","Päijät-Häme","Päijänne-Tavastland","Päijät-Häme","KU098"
"102","2024","Huittinen","Vittis","Huittinen","04","Satakunta","Satakunta","Satakunta","KU102"
"103","2024","Humppila","Humppila","Humppila","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU103"
"105","2024","Hyrynsalmi","Hyrynsalmi","Hyrynsalmi","18","Kainuu","Kajanaland","Kainuu","KU105"
"106","2024","Hyvinkää","Hyvinge","Hyvinkää","01","Uusimaa","Nyland","Uusimaa","KU106"
"108","2024","Hämeenkyrö","Tavastkyro","Hämeenkyrö","06","Pirkanmaa","Birkaland","Pirkanmaa","KU108"
"109","2024","Hämeenlinna","Tavastehus","Hämeenlinna","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU109"
"111","2024","Heinola","Heinola","Heinola","07","Päijät-Häme","Päijänne-Tavastland","Päijät-Häme","KU111"
"139","2024","Ii","Ijo","Ii","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU139"
"140","2024","Iisalmi","Idensalmi","Iisalmi","11","Pohjois-Savo","Norra Savolax","North Savo","KU140"
"142","2024","Iitti","Itis","Iitti","07","Päijät-Häme","Päijänne-Tavastland","Päijät-Häme","KU142"
"143","2024","Ikaalinen","Ikalis","Ikaalinen","06","Pirkanmaa","Birkaland","Pirkanmaa","KU143"
"145","2024","Ilmajoki","Ilmola","Ilmajoki","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU145"
"146","2024","Ilomantsi","Ilomants","Ilomantsi","12","Pohjois-Karjala","Norra Karelen","North Karelia","KU146"
"148","2024","Inari","Enare","Inari","19","Lappi","Lappland","Lapland","KU148"
"149","2024","Inkoo","Ingå","Ingå","01","Uusimaa","Nyland","Uusimaa","KU149"
"151","2024","Isojoki","Storå","Isojoki","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU151"
"152","2024","Isokyrö","Storkyro","Isokyrö","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU152"
"153","2024","Imatra","Imatra","Imatra","09","Etelä-Karjala","Södra Karelen","South Karelia","KU153"
"165","2024","Janakkala","Janakkala","Janakkala","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU165"
"167","2024","Joensuu","Joensuu","Joensuu","12","Pohjois-Karjala","Norra Karelen","North Karelia","KU167"
"169","2024","Jokioinen","Jockis","Jokioinen","05","Kanta-Häme","Egentliga Tavastland","Kanta-Häme","KU169"
"170","2024","Jomala","Jomala","Jomala","21","Ahvenanmaa","Åland","Åland","KU170"
"171","2024","Joroinen","Jorois","Joroinen","11","Pohjois-Savo","Norra Savolax","North Savo","KU171"
"172","2024","Joutsa","Joutsa","Joutsa","13","Keski-Suomi","Mellersta Finland","Central Finland","KU172"
"176","2024","Juuka","Juga","Juuka","12","Pohjois-Karjala","Norra Karelen","North Karelia","KU176"
"177","2024","Juupajoki","Juupajoki","Juupajoki","06","Pirkanmaa","Birkaland","Pirkanmaa","KU177"
"178","2024","Juva","Juva","Juva","10","Etelä-Savo","Södra Savolax","South Savo","KU178"
"179","2024","Jyväskylä","Jyväskylä","Jyväskylä","13","Keski-Suomi","Mellersta Finland","Central Finland","KU179"
"181","2024","Jämijärvi","Jämijärvi","Jämijärvi","04","Satakunta","Satakunta","Satakunta","KU181"
"182","2024","Jämsä","Jämsä","Jämsä","13","Keski-Suomi","Mellersta Finland","Central Finland","KU182"
"186","2024","Järvenpää","Träskända","Järvenpää","01","Uusimaa","Nyland","Uusimaa","KU186"
"202","2024","Kaarina","S:t Karins","Kaarina","02","Varsinais-Suomi","Egentliga Finland","Southwest Finland","KU202"
"204","2024","Kaavi","Kaavi","Kaavi","11","Pohjois-Savo","Norra Savolax","North Savo","KU204"
"205","2024","Kajaani","Kajana","Kajaani","18","Kainuu","Kajanaland","Kainuu","KU205"
"208","2024","Kalajoki","Kalajoki","Kalajoki","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU208"
"211","2024","Kangasala","Kangasala","Kangasala","06","Pirkanmaa","Birkaland","Pirkanmaa","KU211"
"213","2024","Kangasniemi","Kangasniemi","Kangasniemi","10","Etelä-Savo","Södra Savolax","South Savo","KU213"
"214","2024","Kankaanpää","Kankaanpää","Kankaanpää","04","Satakunta","Satakunta","Satakunta","KU214"
"216","2024","Kannonkoski","Kannonkoski","Kannonkoski","13","Keski-Suomi","Mellersta Finland","Central Finland","KU216"
"217","2024","Kannus","Kannus","Kannus","16","Keski-Pohjanmaa","Mellersta Österbotten","Central Ostrobothnia","KU217"
"218","2024","Karijoki","Bötom","Karijoki","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU218"
"224","2024","Karkkila","Högfors","Karkkila","01","Uusimaa","Nyland","Uusimaa","KU224"
"226","2024","Karstula","Karstula","Karstula","13","Keski-Suomi","Mellersta Finland","Central Finland","KU226"
"230","2024","Karvia","Karvia","Karvia","04","Satakunta","Satakunta","Satakunta","KU230"
"231","2024","Kaskinen","Kaskö","Kaskinen","15","Pohjanmaa","Österbotten","Ostrobothnia","KU231"
"232","2024","Kauhajoki","Kauhajoki","Kauhajoki","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU232"
"233","2024","Kauhava","Kauhava","Kauhava","14","Etelä-Pohjanmaa","Södra Österbotten","South Ostrobothnia","KU233"
"235","2024","Kauniainen","Grankulla","Kauniainen","01","Uusimaa","Nyland","Uusimaa","KU235"
"236","2024","Kaustinen","Kaustby","Kaustinen","16","Keski-Pohjanmaa","Mellersta Österbotten","Central Ostrobothnia","KU236"
"239","2024","Keitele","Keitele","Keitele","11","Pohjois-Savo","Norra Savolax","North Savo","KU239"
"240","2024","Kemi","Kemi","Kemi","19","Lappi","Lappland","Lapland","KU240"
"241","2024","Keminmaa","Keminmaa","Keminmaa","19","Lappi","Lappland","Lapland","KU241"
"244","2024","Kempele","Kempele","Kempele","17","Pohjois-Pohjanmaa","Norra Österbotten","North Ostrobothnia","KU244"
"245","2024","Kerava","Kervo","Kerava","01","Uusimaa","Nyland","Uusimaa","KU245"
"249","2024","Keuruu","Keuru","Keuruu","13","Keski-Suomi","Mellersta Finland","Central Finland","KU249"
"250","2024","Kihniö","Kihniö","Kihniö","06","Pirkanmaa","Birkaland","Pirkanmaa","KU250"
