"id","Kunta","Kuukausi","maakunta_id","Maakunta","muutos"
"176","Juuka","2025M01","12","Pohjois-Karjala",22.4
"620","Puolanka","2025M01","18","Kainuu",21.9
"707","Rääkkylä","2025M01","12","Pohjois-Karjala",19.9
"422","Lieksa","2025M01","12","Pohjois-Karjala",19.5
"146","Ilomantsi","2025M01","12","Pohjois-Karjala",19.3
"309","Outokumpu","2025M01","12","Pohjois-Karjala",18.9
"615","Pudasjärvi","2025M01","17","Pohjois-Pohjanmaa",18.6
"153","Imatra","2025M01","09","Etelä-Karjala",17.9
"260","Kitee","2025M01","12","Pohjois-Karjala",17.9
"848","Tohmajärvi","2025M01","12","Pohjois-Karjala",17.7
"689","Rautjärvi","2025M01","09","Etelä-Karjala",17.3
"915","Varkaus","2025M01","11","Pohjois-Savo",17.3
"111","Heinola","2025M01","07","Päijät-Häme",17.2
"785","Vaala","2025M01","17","Pohjois-Pohjanmaa",17
"204","Kaavi","2025M01","11","Pohjois-Savo",16.9
"832","Taivalkoski","2025M01","17","Pohjois-Pohjanmaa",16.4
"240","Kemi","2025M01","19","Lappi",16.3
"777","Suomussalmi","2025M01","18","Kainuu",16.3
"541","Nurmes","2025M01","12","Pohjois-Karjala",16.2
"687","Rautavaara","2025M01","11","Pohjois-Savo",16.2
"729","Saarijärvi","2025M01","13","Keski-Suomi",16.2
"398","Lahti","2025M01","07","Päijät-Häme",15.9
"742","Savukoski","2025M01","19","Lappi",15.9
"172","Joutsa","2025M01","13","Keski-Suomi",15.8
"167","Joensuu","2025M01","12","Pohjois-Karjala",15.4
"139","Ii","2025M01","17","Pohjois-Pohjanmaa",15.3
"285","Kotka","2025M01","08","Kymenlaakso",15.3
"992","Äänekoski","2025M01","13","Keski-Suomi",15.2
"320","Kemijärvi","2025M01","19","Lappi",15.1
"740","Savonlinna","2025M01","10","Etelä-Savo",15.1
"935","Virolahti","2025M01","08","Kymenlaakso",15.1
"576","Padasjoki","2025M01","07","Päijät-Häme",14.8
"061","Forssa","2025M01","05","Kanta-Häme",14.7
"182","Jämsä","2025M01","13","Keski-Suomi",14.7
"265","Kivijärvi","2025M01","13","Keski-Suomi",14.7
"702","Ruovesi","2025M01","06","Pirkanmaa",14.7
"081","Hartola","2025M01","07","Päijät-Häme",14.6
"179","Jyväskylä","2025M01","13","Keski-Suomi",14.6
"700","Ruokolahti","2025M01","09","Etelä-Karjala",14.6
"853","Turku","2025M01","02","Varsinais-Suomi",14.6
"290","Kuhmo","2025M01","18","Kainuu",14.5
"046","Enonkoski","2025M01","10","Etelä-Savo",14.4
"216","Kannonkoski","2025M01","13","Keski-Suomi",14.4
"609","Pori","2025M01","04","Satakunta",14.4
"626","Pyhäjärvi","2025M01","17","Pohjois-Pohjanmaa",14.2
"090","Heinävesi","2025M01","12","Pohjois-Karjala",14.1
"607","Polvijärvi","2025M01","12","Pohjois-Karjala",14.1
"075","Hamina","2025M01","08","Kymenlaakso",14
"564","Oulu","2025M01","17","Pohjois-Pohjanmaa",14
"732","Salla","2025M01","19","Lappi",14
"316","Kärkölä","2025M01","07","Päijät-Häme",13.9
"286","Kouvola","2025M01","08","Kymenlaakso",13.9
"489","Miehikkälä","2025M01","08","Kymenlaakso",13.9
"092","Vantaa","2025M01","01","Uusimaa",13.9
"484","Merikarvia","2025M01","04","Satakunta",13.8
"837","Tampere","2025M01","06","Pirkanmaa",13.8
"249","Keuruu","2025M01","13","Keski-Suomi",13.7
"504","Myrskylä","2025M01","01","Uusimaa",13.7
"747","Siikainen","2025M01","04","Satakunta",13.6
"921","Vesanto","2025M01","11","Pohjois-Savo",13.6
"762","Sonkajärvi","2025M01","11","Pohjois-Savo",13.5
"781","Sysmä","2025M01","07","Päijät-Häme",13.5
"140","Iisalmi","2025M01","11","Pohjois-Savo",13.4
"405","Lappeenranta","2025M01","09","Etelä-Karjala",13.4
"681","Rantasalmi","2025M01","10","Etelä-Savo",13.4
"508","Mänttä-Vilppula","2025M01","06","Pirkanmaa",13.3
"105","Hyrynsalmi","2025M01","18","Kainuu",13.2
"678","Raahe","2025M01","17","Pohjois-Pohjanmaa",13.2
"426","Liperi","2025M01","12","Pohjois-Karjala",13.1
"560","Orimattila","2025M01","07","Päijät-Häme",13.1
"768","Sulkava","2025M01","10","Etelä-Savo",13.1
"833","Taivassalo","2025M01","02","Varsinais-Suomi",13.1
"931","Viitasaari","2025M01","13","Keski-Suomi",13.1
"976","Ylitornio","2025M01","19","Lappi",13.1
"256","Kinnula","2025M01","13","Keski-Suomi",13
"601","Pihtipudas","2025M01","13","Keski-Suomi",13
"857","Tuusniemi","2025M01","11","Pohjois-Savo",13
"908","Valkeakoski","2025M01","06","Pirkanmaa",13
"889","Utajärvi","2025M01","17","Pohjois-Pohjanmaa",12.9
"224","Karkkila","2025M01","01","Uusimaa",12.8
"091","Helsinki","2025M01","01","Uusimaa",12.7
"214","Kankaanpää","2025M01","04","Satakunta",12.7
"694","Riihimäki","2025M01","05","Kanta-Häme",12.7
"844","Tervo","2025M01","11","Pohjois-Savo",12.7
"171","Joroinen","2025M01","11","Pohjois-Savo",12.6
"297","Kuopio","2025M01","11","Pohjois-Savo",12.6
"854","Pello","2025M01","19","Lappi",12.6
"593","Pieksämäki","2025M01","10","Etelä-Savo",12.6
"739","Savitaipale","2025M01","09","Etelä-Karjala",12.6
"077","Hankasalmi","2025M01","13","Keski-Suomi",12.5
"245","Kerava","2025M01","01","Uusimaa",12.5
"580","Parikkala","2025M01","09","Etelä-Karjala",12.5
"686","Rautalampi","2025M01","11","Pohjois-Savo",12.5
"887","Urjala","2025M01","06","Pirkanmaa",12.5
"010","Alavus","2025M01","14","Etelä-Pohjanmaa",12.4
"213","Kangasniemi","2025M01","10","Etelä-Savo",12.4
"434","Loviisa","2025M01","01","Uusimaa",12.4
"491","Mikkeli","2025M01","10","Etelä-Savo",12.4
"317","Kärsämäki","2025M01","17","Pohjois-Pohjanmaa",12.3
"441","Luumäki","2025M01","09","Etelä-Karjala",12.3
"608","Pomarkku","2025M01","04","Satakunta",12.3
"614","Posio","2025M01","19","Lappi",12.3
"625","Pyhäjoki","2025M01","17","Pohjois-Pohjanmaa",12.3
"109","Hämeenlinna","2025M01","05","Kanta-Häme",12.2
"143","Ikaalinen","2025M01","06","Pirkanmaa",12.2
"305","Kuusamo","2025M01","17","Pohjois-Pohjanmaa",12.2
"420","Leppävirta","2025M01","11","Pohjois-Savo",12.2
"079","Harjavalta","2025M01","04","Satakunta",12.1
"186","Järvenpää","2025M01","01","Uusimaa",12.1
"592","Petäjävesi","2025M01","13","Keski-Suomi",12.1
"226","Karstula","2025M01","13","Keski-Suomi",12
"275","Konnevesi","2025M01","13","Keski-Suomi",12
"734","Salo","2025M01","02","Varsinais-Suomi",12
"142","Iitti","2025M01","07","Päijät-Häme",11.9
"016","Asikkala","2025M01","07","Päijät-Häme",11.8
"106","Hyvinkää","2025M01","01","Uusimaa",11.8
"205","Kajaani","2025M01","18","Kainuu",11.8
"231","Kaskinen","2025M01","15","Pohjanmaa",11.8
"263","Kiuruvesi","2025M01","11","Pohjois-Savo",11.8
"271","Kokemäki","2025M01","04","Satakunta",11.8
"069","Haapajärvi","2025M01","17","Pohjois-Pohjanmaa",11.6
"616","Pukkila","2025M01","01","Uusimaa",11.6
"746","Sievi","2025M01","17","Pohjois-Pohjanmaa",11.6
"892","Uurainen","2025M01","13","Keski-Suomi",11.6
"507","Mäntyharju","2025M01","10","Etelä-Savo",11.5
"562","Orivesi","2025M01","06","Pirkanmaa",11.5
"578","Paltamo","2025M01","18","Kainuu",11.5
"624","Pyhtää","2025M01","08","Kymenlaakso",11.5
"697","Ristijärvi","2025M01","18","Kainuu",11.5
"072","Hailuoto","2025M01","17","Pohjois-Pohjanmaa",11.4
"430","Loimaa","2025M01","02","Varsinais-Suomi",11.4
"581","Parkano","2025M01","06","Pirkanmaa",11.4
"584","Perho","2025M01","16","Keski-Pohjanmaa",11.4
"845","Tervola","2025M01","19","Lappi",11.4
"108","Hämeenkyrö","2025M01","06","Pirkanmaa",11.3
"097","Hirvensalmi","2025M01","10","Etelä-Savo",11.3
"239","Keitele","2025M01","11","Pohjois-Savo",11.3
"748","Siikajoki","2025M01","17","Pohjois-Pohjanmaa",11.3
"761","Somero","2025M01","02","Varsinais-Suomi",11.3
"218","Karijoki","2025M01","14","Etelä-Pohjanmaa",11.2
"312","Kyyjärvi","2025M01","13","Keski-Suomi",11.2
"435","Luhanka","2025M01","13","Keski-Suomi",11.2
"495","Multia","2025M01","13","Keski-Suomi",11.2
"595","Pielavesi","2025M01","11","Pohjois-Savo",11.2
"895","Uusikaupunki","2025M01","02","Varsinais-Suomi",11.2
